name,2015-12-31,2016-12-30,2017-12-31,2018-12-28,2019-12-27,2020-12-31,2021-12-31,2022-07-01
博普CTA趋势1号,0,0,0,0.089539007,0.093874232,2.414700615,0.200539012,0.02638914
均成CTA1号,0,0,0,0.465430633,0.504974336,0.844155844,0.053344768,0.154619206
千象21期,0,0,0,0,0.103476234,1.199928851,0.356618606,0.200036005
九坤CTA专享2号,0,0,0.298,0.226199843,0.445749118,0.222045223,0.147148455,-0.01897563
与取华山6号,0,0,0,0,0.017551297,1.310642537,-0.01106842,0.32971404
上海宽德卓越,0,0,0.392378991,0.097850259,0.153324288,0.324619457,0.31111557,-0.03116452
均成博孚利1号,0,0,0,0,0,1.238954013,0.039035591,0.220805369
洛书尊享CTA拾壹号,0,0,0,0.055666004,0.131057692,0.924160621,0.19063811,0.014953409
丰诺丰收9号,0,0,0,0,0,0.196957566,0.988813559,0.160625915
量金睿丰2号,0,0,0,0,0.00410082,0.876666004,0.098781462,0.330925584
渤海期货远澜翠柏2号,0,0,0,0.154233871,0.124239791,0.771954023,-0.243860065,0.440921581
黑翼CTA二号,0,-0.015045135,0.151987768,0.214865819,0.167880631,0.310905288,0.040175966,0.095013826
冲和小奖章一号,0,0,0,0.157485932,0.140227991,0.384509734,0.123274464,0.101398875
元盛三号,0,0.265020576,0.016265452,0.097951344,0.040233236,0.296455424,0.119221411,0.038909091
千象3期,0,0.20949214,0.040395575,0.099636657,0.035529238,0.278842753,0.099411733,0.055480769
明得浩伦CTA一号,0,0,0.053039576,0.057359307,-0.005316824,0.536512991,0.166688904,0.053114804
宏锡2号,0,0,0.114241803,0.144841423,0.088065512,0.351283156,-0.043896229,0.163899181
双隆-隆富2号,0,0,0,0.227695779,0.000456274,0.420405426,0.15540471,0.028496951
黑翼CTA-T1,0,0,0.047484054,0.145136337,0.127460012,0.254965426,0.098406421,0.079220437
恒健远志量化趋势,0,0,0,0,-0.090769493,0.558411856,0.072819597,0.317594065
浙江白鹭量化CTA一号,0,0,0,0,0.082082082,0.577113971,0.032128058,0.134873283
福克斯投资激进壹号,0,0,0,0,0,0.255826859,0.183543524,0.289954829
金祥盈价值发现2号,0,0,0,0,0,-0.141260163,0.215547703,0.660743427
堃熙源沣11号,0,0,0,0.046143113,0.178936312,0.087442369,-0.103278321,0.333116355
思新四十七号,0,0,0,0,0,0.174556213,0.083963056,0.220247295
颐聚稳健回报5号,0,0,0,0,-0.157262905,0.762790147,-0.115301257,0.154752981
会世泰和CTA1号,0,0,0,0,0,0.292320534,0.085642802,0.057492603
思博量道十五号,0,0,0,0.116116855,0.076388889,0.134503705,0.038034213,0.01018791
盛冠达CTA基本面量化1号,0,0,0,0,0,0.317581252,0.068863571,-0.044786278
君拙倚天一号,0,0,0,0,0,0.295321637,-0.106997085,-0.005830432
富励业长江1号宏观量化,0,0,0,0,0,0,0,0.11270872
量客中宇一号,0,0,0,0,0,0,0,0.108623632
皓邦尊享CTA1号,0,0,0,0,0,0,0,0.078458844
博瑞量化稳健1号,0,0,0,-0.03264095,0.042060988,-0.255676209,-0.108834827,0.603915663
衍盛量化CTA三号,0,0,0,0,0,0,-0.037239583,0.00063234
恒和鑫对冲1号,0,0,0,0,0.279197466,-0.471505655,-0.076770022,0.513822008
