name,2015-12-31,2016-12-30,2017-12-31,2018-12-28,2019-12-27,2020-12-31,2021-12-31,2022-07-01
博普CTA趋势1号,0,0,0,0,0,0,0,0
均成CTA1号,0,0,0,1,0,0,0,0
千象21期,0,0,0,0,1,1,0,0
九坤CTA专享2号,0,0,0,0,1,0,0,0
与取华山6号,0,0,0,0,0,0,0,0
上海宽德卓越,0,0,1,1,0,0,0,0
均成博孚利1号,0,0,0,0,0,1,0,1
洛书尊享CTA拾壹号,0,0,0,0,0,0,0,0
丰诺丰收9号,0,0,0,0,0,0,0,0
量金睿丰2号,0,0,0,0,0,0,0,0
渤海期货远澜翠柏2号,0,0,0,0,0,0,0,1
黑翼CTA二号,0,1,1,0,0,0,0,0
冲和小奖章一号,0,0,0,0,0,0,0,0
元盛三号,0,1,0,0,0,0,0,0
千象3期,0,1,1,0,0,0,0,0
明得浩伦CTA一号,0,0,0,0,0,0,0,0
宏锡2号,0,0,1,0,0,0,0,0
双隆-隆富2号,0,0,0,1,0,1,0,0
黑翼CTA-T1,0,0,0,0,0,0,0,0
恒健远志量化趋势,0,0,0,0,1,1,1,0
浙江白鹭量化CTA一号,0,0,0,0,0,0,0,0
福克斯投资激进壹号,0,0,0,0,0,0,0,0
金祥盈价值发现2号,0,0,0,0,0,0,1,0
堃熙源沣11号,0,0,0,1,0,0,0,0
思新四十七号,0,0,0,0,0,0,0,0
颐聚稳健回报5号,0,0,0,0,0,0,1,0
会世泰和CTA1号,0,0,0,0,0,0,0,0
思博量道十五号,0,0,0,0,0,0,0,0
盛冠达CTA基本面量化1号,0,0,0,0,0,0,0,0
君拙倚天一号,0,0,0,0,0,0,0,0
富励业长江1号宏观量化,0,0,0,0,0,0,0,0
量客中宇一号,0,0,0,0,0,0,0,0
皓邦尊享CTA1号,0,0,0,0,0,0,0,0
博瑞量化稳健1号,0,0,0,0,0,0,1,1
衍盛量化CTA三号,0,0,0,0,0,0,0,0
恒和鑫对冲1号,0,0,0,0,1,0,0,1
